chrom	chrompos	abspos	C10_S10_R1_001	C100_S100_R1_001	C101_S101_R1_001	C103_S103_R1_001	C104_S104_R1_001	C105_S105_R1_001	C106_S106_R1_001	C107_S107_R1_001	C108_S108_R1_001	C109_S109_R1_001	C11_S11_R1_001	C110_S110_R1_001	C111_S111_R1_001	C112_S112_R1_001	C113_S113_R1_001	C114_S114_R1_001	C115_S115_R1_001	C116_S116_R1_001	C117_S117_R1_001	C118_S118_R1_001	C119_S119_R1_001	C120_S120_R1_001	C121_S121_R1_001	C122_S122_R1_001
1	14754111	14754111	1.93100367224866	182.904014596492	67.353945273781	174.401047541824	150.927113876388	156.878606301854	142.684323861096	160.50252846935	190.539691767565	206.446979042071	48.7685490257229	135.60006179721	165.02835406958	102.881692621186	132.98176008232	130.767575860501	132.669481835167	147.748191132206	244.590618672988	175.124750258553	193.220054253178	81.3009425562334	155.987402208516	151.553361015912
1	15289750	15289750	2.95217234799735	232.466615186506	70.6118787210492	156.304400990377	172.511367965035	163.398829945563	155.334498897057	147.85042927474	183.573839258277	255.341291316648	43.6499268135039	157.951075257717	144.02276991239	36.3538404207724	136.963210567299	162.522853166035	114.133829807383	174.430444423949	277.981510723728	240.607440466957	185.379374150905	56.6712325780718	276.303506971482	146.064753589315
1	15848621	15848621	0.0845660389502006	226.378648950945	81.8292354325956	186.525442407434	112.965345960637	181.856036050107	165.015913702548	184.867240459133	199.70049897202	219.647919843549	25.6241791776894	162.547242148997	163.820735124478	58.7179782462146	122.692921086658	155.870099180121	156.58236381613	186.067558257668	262.172387021536	200.954928094411	211.975976070972	105.515505952156	276.844219804033	140.12935841332
1	17307126	17307126	3.37176672725151	250.398221783642	77.3283884296139	201.703188103933	162.109316539702	176.162473370234	159.695695413801	156.111762254068	193.480504262152	247.454978814266	68.5129814564432	184.842946183295	164.515280744769	70.4166669464133	129.982763609542	147.160564830978	132.248439420901	204.659818242642	266.508190529244	198.50637076311	195.378376151045	106.443571153916	232.884045403336	155.332393235254
1	17878681	17878681	2.39101251432714	218.255464231511	74.7913426604535	166.644854925168	176.773685807953	162.417848656052	148.939637514122	133.832889538307	160.882361441534	214.762389120023	19.676543712093	174.694611612399	155.62269994159	137.002741554043	140.424803212645	127.944858476171	140.46415455611	157.521985006719	264.841877612183	202.068776747054	193.461644033922	145.490865622281	145.005524287495	165.831281373284
1	18403246	18403246	2.82028612706478	248.14567712485	80.1366852875638	177.469818305817	131.040883935714	154.502135689563	128.270564776092	138.211144481331	189.461940494992	212.091085617183	19.8468692635629	188.843797175359	156.593659839496	65.506359489484	161.893945215595	157.403031334537	143.55866501285	151.254820806516	275.772515580523	228.271345383387	168.121809914452	155.949023188382	181.507117713029	128.614070985522
1	18925641	18925641	1.20661597401683	226.080108035381	82.8967541352507	180.249330855458	119.607367670289	139.835602633788	172.834369348512	141.429122971703	151.460376121829	213.933659178274	36.57438007497	167.36604522746	158.350923189203	74.3320864484974	113.13295521438	151.450546919348	127.411109419221	164.25288865465	283.421502247487	187.880518426648	166.204352537286	145.456958223044	182.640527512178	133.964971708339
1	19452725	19452725	1.26392640709433	202.957526367152	83.9272854079634	173.73510198402	140.885518209469	134.595430235351	162.725071758236	133.574672170348	153.639878220767	181.969748278336	55.4264562449344	184.710270690838	127.172015218015	74.3384820015801	119.214684783748	141.519537267304	150.351112841802	164.626270755164	282.062582635749	188.532496817889	161.04522984312	139.104502057758	225.884698990038	132.33635497264
1	20014360	20014360	0.806745600884597	243.164463084137	56.7373229742732	184.413813940678	140.45162498464	164.794543074378	166.482597062789	145.012461448173	165.843562780095	229.546157623342	31.6682094061853	171.731536869571	135.761356400543	81.9794870222663	135.922821953055	138.322685048768	124.516467594782	183.542728435509	277.469967486342	186.951906626377	174.178976293046	151.894735709984	259.577998172114	142.679056265351
1	20575805	20575805	1.86862029127876	224.580217946664	88.2744303147915	162.147372795305	168.239323245519	153.029478918954	185.78146114432	146.577719194241	202.01459968452	236.561210045336	43.0989695895589	169.909407798077	162.975690884613	61.0253589982196	125.873062637666	156.450586337465	142.376351515854	156.933113603586	323.621802951123	236.153754111655	168.847555164875	157.687126069282	264.809474380158	147.060327490546
